分類,品牌名稱,注音,品牌旗艦館連結,品牌旗艦館APP連結,大網LOGO,小網LOGO,品牌Logo背景圖
3C／家電,Apple,,https://www.etmall.com.tw/bs/172563,a82,https://media.etmall.com.tw/Promo/Image/Kanban/70/283694/978ef9cc-d622-42ba-8ca1-aa9bc5fb8fd8.png,https://media.etmall.com.tw/Promo/Image/Kanban/70/283694/8866e390-fc42-4f1b-85fd-4cef5d18854a.png,https://media.etmall.com.tw/Promo/Image/Kanban/70/283694/e4026d24-3abc-4846-8fca-b7e2c878dc98.png
美妝保健,Palmer’s帕瑪氏,ㄆ,https://www.etmall.com.tw/bs/53652,a83,https://media.etmall.com.tw/Promo/Image/BrandPublish/53652/2017121215598_230-90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53652/2017121215593_160X160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53652/2017121215598_750x200_gray.jpg
美食,聯華食品,ㄌ,https://www.etmall.com.tw/bs/167110,a84,https://media.etmall.com.tw/Promo/Image/Kanban/70/263187/a17858fa-af16-4099-a015-ff34ab703dc6.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/263187/872bce28-11f5-41b3-ae29-c1baaee9f0d8.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/263187/f44a6991-6b70-4228-9fa5-910cb61c700a.jpg
3C／家電,SHARP夏普,ㄒ,https://www.etmall.com.tw/bs/119162,a85,https://media.etmall.com.tw/Promo/Image/BrandPublish/119162/201871015317_230x90_logo.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/119162/201871015312_160x160_logo.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/119162/201871015317_750x200.jpg
3C／家電,日本象印,ㄖ,https://www.etmall.com.tw/bs/102524,a86,https://media.etmall.com.tw/Promo/Image/BrandPublish/102524/201712121531_230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/102524/201712121532_160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/102524/201712121537_750x200.jpg
衣／鞋／錶,CASIO 卡西歐,ㄎ,https://www.etmall.com.tw/bs/54803,a87,https://media.etmall.com.tw/Promo/Image/BrandPublish/54803/2017121314289_230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/54803/2017121314280_160x160-logo.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/54803/2017121314285_750x200-bg.jpg
衣／鞋／錶,CITIZEN星辰,ㄒ,https://www.etmall.com.tw/bs/54826,a88,https://media.etmall.com.tw/Promo/Image/BrandPublish/54826/2017121217484_230x90_logo_2.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/54826/2017121217489_160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/54826/2017121217484_750x200_gray.jpg
衣／鞋／錶,SEIKO精工,ㄐ,https://www.etmall.com.tw/bs/54910,a89,https://media.etmall.com.tw/Promo/Image/BrandPublish/54910/2017121314210_SEIKO-230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/54910/2017121314210_m-SEIKO-160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/54910/2017121314215_750x200_gray.jpg
美食,得意的一天,ㄉ,https://www.etmall.com.tw/bs/162004,a90,https://media.etmall.com.tw/Promo/Image/Kanban/70/234281/06674bdf-f464-493c-b3a3-bcc82156851b.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/234281/3fb7777d-a4fc-433a-b5f6-2ec54dce56e4.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/234281/1b8a9fa8-8463-4dea-af38-3b70affeb361.jpg
數位轉型專案,經濟部推動專案,,https://www.etmall.com.tw/bs/142823,a91,https://media.etmall.com.tw/Promo/Image/Kanban/70/249729/8d36aa7b-50f1-4a54-ac5a-f9ca7521ea4e.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/249729/1d8b37a2-9e44-471d-851a-c078249d3533.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/249729/2cfe49f3-e00b-40d1-b28d-be28249b6b73.jpg
