分類,品牌名稱,注音,品牌旗艦館連結,品牌旗艦館APP連結,大網LOGO,小網LOGO,品牌Logo背景圖
全家館,網連通,,https://www.etmall.com.tw/bs/142388,a24,https://media.etmall.com.tw/Promo/Image/BrandPublish/142388/202061017440_【B】230x90-B2.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/158209/d4122691-e8e2-45ae-9ada-f37e269fd449.png,https://media.etmall.com.tw/Promo/Image/BrandPublish/142388/202061114418_網連通_永豐_banner.jpg
衣／鞋／錶,EASY SHOP,,https://www.etmall.com.tw/bs/53396,a25,//media.etmall.com.tw/Promo/Image/Kanban/70/205050/1042e123-52c6-481c-8b99-e25d90cc7bad.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/205050/bbade096-b888-428f-afa8-fb930d796b17.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/205050/06fc282d-83d6-4ee5-9ecd-c3f019b5b971.png
美妝保健,3M,,https://www.etmall.com.tw/bs/113204,a26,https://media.etmall.com.tw/Promo/Image/BrandPublish/113204/20184315568_1.LOGO-230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/113204/20184315563_LOGO-160X160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/113204/20184315563_750X200.jpg
3C／家電,3M,,https://www.etmall.com.tw/bs/113204,a27,https://media.etmall.com.tw/Promo/Image/BrandPublish/113204/20184315568_1.LOGO-230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/113204/20184315563_LOGO-160X160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/113204/20184315563_750X200.jpg
日用／婦幼,毛毛商城,ㄇ,https://www.etmall.com.tw/bs/157582,a28,https://media.etmall.com.tw/Promo/Image/Kanban/70/221066/755be0e6-de0c-4f97-80df-a9030ea827b0.jpeg,https://media.etmall.com.tw/Promo/Image/Kanban/70/221066/5f91ecb4-a087-4a84-b1dd-5c0a148b01fe.jpeg,https://media.etmall.com.tw/Promo/Image/Kanban/70/221066/c391a6e3-f3b9-4f5e-8a32-afe7f339372c.jpeg
傢寢／運休,hoi！好好生活,ㄏ,https://www.etmall.com.tw/bs/141798,a29,//media.etmall.com.tw/Promo/Image/Kanban/70/173468/3c27e41d-e5f4-4694-895f-019ac979de1d.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/173468/aae1ad94-184b-4a93-a71f-2d9d5216da5f.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/173468/94aa309b-1a5f-4908-a254-eafa425a3f45.jpg
日用／婦幼,樂扣樂扣,ㄌ,https://www.etmall.com.tw/bs/158007,a30,https://media.etmall.com.tw/Promo/Image/Kanban/70/217411/aeec9e7b-68f3-44f4-afe8-61e54eb2ecdb.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/217411/01b3a378-3a2a-46e0-ae95-e91fea820f0d.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/217411/422bed01-fa56-42ca-a205-21574132e8c9.jpg
美食,泰山,ㄊ,https://www.etmall.com.tw/bs/160182,a31,https://media.etmall.com.tw/Promo/Image/Kanban/70/221478/5d21f288-7cd4-4536-b7e1-7aa849c8722c.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/221478/9350c400-cf9b-470a-9779-faa45f1a849a.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/221478/7e7db99a-7e10-4f2e-99ee-35d4e7dd8cd3.jpg
3C／家電,正負零±0,ㄓ,https://www.etmall.com.tw/bs/148692,a32,//media.etmall.com.tw/Promo/Image/Kanban/70/180587/23f074f3-18b0-4f50-b94e-e3a57c2b97a3.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/180587/7889d27d-d5a6-4296-9372-44afe893decd.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/180587/43232238-2b0a-4d79-8afa-e5af0c5b1c03.jpg
衣／鞋／錶,COACH,,https://www.etmall.com.tw/bs/54666,a33,https://media.etmall.com.tw/Promo/Image/BrandPublish/54666/201712118424_230X90-logo.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/54666/2017121218206_160x160-logo.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/54666/2017121218202_750x200.jpg
服飾／鞋包,蘭陵,ㄌ,https://www.etmall.com.tw/bs/53374,a34,https://media.etmall.com.tw/Promo/Image/BrandPublish/53374/2017121214394_230x90_logo.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53374/2017121214395_160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53374/2017121214399_750x200.jpg
衣／鞋／錶,MON’S,,https://www.etmall.com.tw/bs/53364,a35,https://media.etmall.com.tw/Promo/Image/BrandPublish/53364/2017121214286_230x90_logo.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53364/2017121214287_20171208東森旗艦館主視覺-LOGO160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53364/2017121214286_20171208東森旗艦館主視覺-LOGO背景圖750x200.jpg
美妝保健,DR.WU達爾膚,ㄉ,https://www.etmall.com.tw/bs/53628,a36,https://media.etmall.com.tw/Promo/Image/BrandPublish/53628/201712121674_DR.WU logo.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53628/201712121679_DRWU_logo-160X160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53628/201712121674_750x200_gray.jpg
3C／家電,HERAN禾聯,ㄏ,https://www.etmall.com.tw/bs/55180,a37,https://media.etmall.com.tw/Promo/Image/Kanban/70/251620/5e107f18-a745-4318-9979-e8710147b1b2.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/251620/b2a6c1c0-4d3d-4345-a7bb-ac9ab39e181a.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/251620/eb0783e6-48e3-4dd1-a83e-1c13395ec740.jpg
美妝保健,LG生活健康,,https://www.etmall.com.tw/bs/86254,a38,https://media.etmall.com.tw/Promo/Image/BrandPublish/86254/201913018157_230.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/86254/201913018153_160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/86254/201913018152_gray.jpg
日用／婦幼,麗嬰房,ㄌ,https://www.etmall.com.tw/bs/113207,a39,https://media.etmall.com.tw/Promo/Image/BrandPublish/113207/201831917109_230X90-Logo.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/113207/201831917100_160X160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/113207/201831917105_750X200.jpg
美食,胡媽媽的灶腳,ㄏ,https://www.etmall.com.tw/bs/86351,a40,https://media.etmall.com.tw/Promo/Image/BrandPublish/86351/2017122714246_humama-230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/86351/2017122714247_m-humama-160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/86351/2017122714242_750x200_gray(品牌 Logo背景圖).jpg
日用／婦幼,美國康寧,ㄇ,https://www.etmall.com.tw/bs/113205,a41,https://media.etmall.com.tw/Promo/Image/BrandPublish/113205/20197291658_20190729東森旗艦館-餐盤230X90LOGO.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/113205/20197291653_20190729東森旗艦館-餐盤LOGO.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/158189/59f614f0-2be4-4467-9330-7ff6e17c0eae.jpg
日用／婦幼,Combi康貝,ㄎ,https://www.etmall.com.tw/bs/113208,a42,https://media.etmall.com.tw/Promo/Image/BrandPublish/113208/201712229548_230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/113208/201712229548_160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/113208/201811116550_東森BN-750x200px.jpg
美妝保健,NARUKO牛爾,ㄋ,https://www.etmall.com.tw/bs/83423,a43,https://media.etmall.com.tw/Promo/Image/Kanban/70/158163/63faec06-e3d4-4477-9075-d7474f1a734d.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/158163/31647842-82a3-4269-9c69-f415bee5bc08.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/83423/2017121215360_750x200_gray.jpg
傢寢／運休,東妮寢飾,ㄉ,https://www.etmall.com.tw/bs/141472,a44,https://media.etmall.com.tw/Promo/Image/Kanban/70/158207/413708e8-b650-478f-8598-db7d8a2248f2.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/158207/8523accb-669c-40d9-a227-870b85fc5ddf.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/141472/20205271164_品牌Logo_750x200.jpg
美妝保健,日本味王／元氣堂,ㄖ,https://www.etmall.com.tw/bs/86529,a45,https://media.etmall.com.tw/Promo/Image/BrandPublish/86529/2017121216143_日本味王LOGO230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/86529/2017121216143_日本味王LOGO160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/86529/202042110340_手機板形象廣告750X200.jpg
日用／婦幼,德國WMF,,https://www.etmall.com.tw/bs/145323,a46,//media.etmall.com.tw/Promo/Image/Kanban/70/160967/beda7b30-2be1-4efa-ad34-ee8d853349d0.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/160967/91ab8afb-ea21-4156-8701-38d90fa16d55.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/160967/1e944163-b800-48a9-ba47-5fa3c4bcf510.jpg
衣／鞋／錶,ST.MALO,,https://www.etmall.com.tw/bs/85710,a47,https://media.etmall.com.tw/Promo/Image/BrandPublish/85710/2017121310443_etmall-logo-230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/85710/2017121310443_etmall-logo-160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/85710/2017121310448_etmall-750x200.jpg
美食,Diva Life,,https://www.etmall.com.tw/bs/161966,a48,https://media.etmall.com.tw/Promo/Image/Kanban/70/232248/b18edbd7-45f2-419e-9fd1-423cf8b758b0.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/232248/2db92c95-a237-426a-a0f8-b5ba09600478.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/232248/fcccc30f-daf8-49ca-aaaa-9cf977b61fb0.jpg
美食,米森Vilson,ㄇ,https://www.etmall.com.tw/bs/162003,a49,https://media.etmall.com.tw/Promo/Image/Kanban/70/230331/565933e2-5717-46d7-9293-28d8fd68489f.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/230331/a570879f-8a13-4a89-a175-c8aa9db42083.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/230331/efc6d3bf-d87d-4194-867a-edd290b4e520.jpg
美食,有幾園,ㄧ,https://www.etmall.com.tw/bs/162013,a50,https://media.etmall.com.tw/Promo/Image/Kanban/70/229997/9a45c067-a492-4b81-8121-539a19ad7985.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/229997/0def60f8-82c0-4a5d-91f6-53ec48c083d7.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/229997/81f300a6-548d-40b2-b3d3-c7e4f137f27d.jpg
傢寢／運休,輝葉,ㄏ,https://www.etmall.com.tw/bs/167664,a51,https://media.etmall.com.tw/Promo/Image/Kanban/70/265716/37d3acb0-5ca1-4f22-9dbf-034dd660dd30.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/265716/edbc941c-d91e-4d03-8140-3c115990f5eb.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/265716/9ab5c83d-40c1-48c2-920a-d0dbf38c95cc.jpg
傢寢／運休,YAMAHA,,https://www.etmall.com.tw/bs/167689,a52,https://media.etmall.com.tw/Promo/Image/Kanban/70/265242/1bacbc4d-1e20-4618-a7e3-9c9d12a96ea7.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/265242/1e11f559-eba9-428f-b764-7a9311e91321.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/265242/a70651a4-5d24-4327-9257-066652a50069.jpg
美妝保健,自然美,ㄗ,https://www.etmall.com.tw/bs/85895,a53,https://media.etmall.com.tw/Promo/Image/BrandPublish/85895/20205291462_230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/85895/202052916545_160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/85895/201921510521_gray.jpg
數位轉型專案,臺中購物專區,,https://www.etmall.com.tw/bs/167822,a54,https://media.etmall.com.tw/Promo/Image/Kanban/70/265634/1c64280b-6527-43dc-832c-cd164736ca7a.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/265634/c06a19fb-3472-49c7-9feb-6bb1b4c5eca5.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/265634/64750b3e-2243-49b2-98e6-78b986d2a4c0.jpg
數位轉型專案,桃園樂購專區,,https://www.etmall.com.tw/bs/167823,a55,https://media.etmall.com.tw/Promo/Image/Kanban/70/265637/90a5c396-bfff-43a6-a74b-173f5e0c0e33.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/265637/792755cb-a6df-4c6b-bc66-b0e157ad915d.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/265637/a90bfb9f-6351-4219-8f8a-9375e532d413.jpg
美妝保健,東森樂齡生活館,,https://www.etmall.com.tw/bs/169033,a56,https://media.etmall.com.tw/Promo/Image/Kanban/70/270432/39006876-d1f0-4fda-ad41-2e7c88c0f59f.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/270432/ccfc58b6-8850-483d-b474-b94160838f59.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/270432/082d6e09-bff0-4846-a9d6-9a6d7a517b90.jpg
數位轉型專案,彰化購物專區,,https://www.etmall.com.tw/bs/147866,a57,https://media.etmall.com.tw/Promo/Image/Kanban/70/261406/ed424519-2863-4483-a342-79ace92bc8e1.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/261406/3715dbb8-36c1-4fe2-bfde-a8a1f6f36d0d.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/261406/28fbcd64-6f1a-47e4-8f0e-6ad0c152f666.jpg
美食,熊媽媽買菜網,,https://www.etmall.com.tw/bs/133979,a58,https://media.etmall.com.tw/Promo/Image/BrandPublish/133979/201991117288_230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/133979/201991117283_mamabear_Logo_1000x1000-160.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/158205/5118a1cb-dc34-4de2-92e5-a8be977d5903.jpg
美妝保健,Bio－essence 碧歐斯,ㄅ,https://www.etmall.com.tw/bs/98199,a59,https://media.etmall.com.tw/Promo/Image/BrandPublish/98199/2017122515585_02.碧歐斯-旗艦館用LOGO.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/98199/2017122515585_02.碧歐斯-旗艦館用LOGO-160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/98199/2017122515580_750x200_gray.jpg
衣／鞋／錶,U＆Z,,https://www.etmall.com.tw/bs/101119,a60,//media.etmall.com.tw/Promo/Image/Kanban/70/158182/9ec2cce1-2ea3-4f5b-8e0b-fcdd4419173e.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/158182/f4ed811b-96e5-4a8a-bbbb-daddcb071671.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/158182/5f92b5cf-749a-45c4-92d8-0b99002d54de.png
衣／鞋／錶,Ann’S,,https://www.etmall.com.tw/bs/167916,a61,https://media.etmall.com.tw/Promo/Image/Kanban/70/274319/d6d7c6c1-00da-4ecf-bf9a-6780dead701e.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/274319/fcae8db8-1e78-46fd-a230-a11689980581.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/274319/b71583cd-df51-4a67-9637-2007fbe8fe8f.jpg
美妝保健,順天本草,ㄕ,https://www.etmall.com.tw/bs/53601,a62,https://media.etmall.com.tw/Promo/Image/BrandPublish/53601/2018941438_logo_230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53601/2018941438_logo_160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53601/2018941433_曝光版位_750x200.jpg
日用／婦幼,LEGO樂高,ㄌ,https://www.etmall.com.tw/bs/168469,a63,https://media.etmall.com.tw/Promo/Image/Kanban/70/267987/e503df0d-6d8c-49e5-963f-8d30e572d2ad.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/267987/54fd94b9-ce77-4c1b-bd48-cb709c8390aa.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/267987/3543371b-2783-463a-a8ff-4b8f4f04858b.jpg
3C／家電,dyson戴森,ㄉ,https://www.etmall.com.tw/bs/55179,a64,//media.etmall.com.tw/Promo/Image/Kanban/70/197110/577bcb99-afb6-4f53-bdb4-ea5e33a5cc02.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/197110/86cf940e-4014-4d90-9661-578fc19f99c0.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/197110/43819e68-2b58-4f00-9e8e-3fd8a5327ef9.jpg
3C／家電,ASUS華碩,ㄏ,https://www.etmall.com.tw/bs/53235,a65,https://media.etmall.com.tw/Promo/Image/BrandPublish/53235/2017121518177_230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53235/2017121518178_160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53235/2017121518173_Acer-750x200_gray-m.jpg
日用／婦幼,3M,,https://www.etmall.com.tw/bs/113204,a66,https://media.etmall.com.tw/Promo/Image/BrandPublish/113204/20184315568_1.LOGO-230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/113204/20184315563_LOGO-160X160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/113204/20184315563_750X200.jpg
美妝保健,Cocodor,,https://www.etmall.com.tw/bs/90788,a67,https://media.etmall.com.tw/Promo/Image/BrandPublish/90788/20206115422_230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/90788/202042811153_logo160x160.png,https://media.etmall.com.tw/Promo/Image/BrandPublish/90788/202042811158_750x200.jpg
